Station_ID,Has available data ? (Testing with get_wq()),LAT (ddmmss.sss),LON (ddmmss.sss)
P37,No ,,
FLAB10,Yes,251328.09,803211.69
C111AC,Yes,251033.78,"	804733.84"
C111MC,Yes,251005.52,804401.26
FLAB14,Yes,250901.73,804833.19
FLAB12,Yes,250825.33,804258.03
FLAB11,Yes,251030.61,803736.91
C111TC,Yes,251253.58,803200.6
C111JB,Yes,251357.72,803128.44
FLAB16,Yes,250705.77,805622.74
C111W3,Yes,251712.18,803120.52
EP,No ,,
S197,Yes,251714.147,802629.386
FLAB07,Yes,251512.96,802638.94
FLAB08,Yes,251338.53,802742.01